CustomerID,Gender,Age,Subscription_Type,Tenure_Months,Monthly_Spend,Support_Tickets,Payment_Method,Auto_Renew,Total_Spend,Churn
CUST00079,Male,57,Premium,34,13.26,0,Card,No,450.84,0
CUST00080,Female,45,Premium,18,17.11,1,Bank Transfer,Yes,307.98,0
CUST00081,Male,50,Enterprise,54,33.98,2,Bank Transfer,Yes,1834.92,0
CUST00082,Female,65,Basic,7,36.3,4,Bank Transfer,Yes,254.1,0
CUST00083,Male,58,Enterprise,29,18.26,1,Bank Transfer,Yes,529.54,0
CUST00084,Female,30,Basic,55,17.56,0,Bank Transfer,No,965.8,0
CUST00085,Male,60,Basic,31,18.48,0,Wallet,Yes,572.88,0
CUST00086,Male,62,Basic,25,8.95,2,Bank Transfer,Yes,223.75,0
CUST00087,Female,42,Basic,38,12.29,3,Bank Transfer,Yes,467.02,0
CUST00088,Male,59,Premium,14,12.53,1,Bank Transfer,Yes,175.42,0
CUST00089,Female,53,Basic,8,22.06,0,Bank Transfer,Yes,176.48,1
CUST00090,Female,44,Basic,27,27.71,1,Card,Yes,748.17,1
CUST00091,Female,55,Enterprise,54,29.33,0,Wallet,Yes,1583.82,0
CUST00092,Female,24,Premium,2,19.91,2,Card,Yes,39.82,0
CUST00093,Female,22,Premium,17,20.16,1,Wallet,Yes,342.72,0
CUST00094,Female,60,Enterprise,37,26.24,1,Bank Transfer,Yes,970.88,0
CUST00095,Female,62,Premium,14,10.04,2,Bank Transfer,Yes,140.56,0
CUST00096,Female,68,Basic,25,34.59,1,Wallet,No,864.75,0
CUST00097,Female,48,Basic,56,37.85,3,Wallet,No,2119.6,0
CUST00098,Female,40,Premium,30,18.74,2,Card,Yes,562.2,0
CUST00099,Female,59,Basic,29,21.02,1,Wallet,Yes,609.58,0
CUST00100,Male,27,Premium,20,37.43,3,Bank Transfer,Yes,748.6,0
CUST00101,Male,49,Basic,21,23.77,0,Card,No,499.17,1
CUST00102,Female,60,Basic,53,30.88,2,Wallet,No,1636.64,0
CUST00103,Female,47,Premium,22,24.08,2,Wallet,Yes,529.76,1
CUST00104,Female,56,Premium,35,40.56,0,Card,Yes,1419.6,0
CUST00105,Female,48,Premium,37,29.9,0,Wallet,Yes,1106.3,0
CUST00106,Female,35,Premium,16,30.48,2,Bank Transfer,Yes,487.68,0
CUST00107,Female,53,Basic,50,30.66,3,Card,No,1533.0,0
CUST00108,Female,19,Basic,58,19.45,2,Wallet,Yes,1128.1,1
CUST00109,Female,31,Enterprise,49,20.37,2,Bank Transfer,No,998.13,0
CUST00110,Male,30,Premium,43,32.69,0,Wallet,Yes,1405.67,0
CUST00111,Female,46,Basic,17,26.26,1,Card,Yes,446.42,0
CUST00112,Male,29,Premium,16,13.22,1,Wallet,Yes,211.52,0
CUST00113,Female,56,Basic,58,43.73,0,Wallet,Yes,2536.34,0
CUST00114,Female,19,Basic,55,34.78,1,Wallet,No,1912.9,0
CUST00115,Male,49,Basic,2,25.38,0,Bank Transfer,Yes,50.76,0
CUST00116,Female,30,Premium,4,22.26,2,Bank Transfer,Yes,89.04,0
CUST00117,Male,63,Premium,21,26.99,2,Wallet,Yes,566.79,1
CUST00118,Female,44,Basic,39,30.18,2,Wallet,Yes,1177.02,1
CUST00119,Female,66,Enterprise,34,4.67,0,Card,Yes,158.78,1
CUST00120,Male,58,Basic,30,46.12,2,Wallet,No,1383.6,1
CUST00121,Female,34,Basic,6,17.1,1,Card,Yes,102.6,0
CUST00122,Male,57,Basic,17,24.98,0,Bank Transfer,Yes,424.66,1
CUST00123,Female,48,Basic,39,25.35,1,Wallet,No,988.65,1
CUST00124,Male,51,Basic,25,44.97,0,Card,Yes,1124.25,0
CUST00125,Male,41,Premium,5,24.12,4,Bank Transfer,Yes,120.6,0
CUST00126,Female,62,Premium,5,40.89,3,Card,Yes,204.45,0
CUST00127,Female,52,Premium,20,29.07,5,Bank Transfer,Yes,581.4,0
CUST00128,Male,65,Basic,16,15.38,0,Wallet,No,246.08,1
CUST00129,Female,23,Basic,51,26.35,2,Card,Yes,1343.85,1
CUST00130,Female,36,Basic,41,23.81,2,Wallet,Yes,976.21,0
CUST00131,Female,47,Basic,37,14.16,0,Card,Yes,523.92,0
CUST00132,Male,24,Premium,40,28.58,2,Bank Transfer,Yes,1143.2,0
CUST00133,Male,27,Basic,9,25.22,2,Card,Yes,226.98,0
CUST00134,Male,58,Premium,5,30.56,0,Card,Yes,152.8,1
CUST00135,Male,49,Enterprise,42,26.93,2,Wallet,No,1131.06,0
CUST00136,Male,51,Basic,57,18.49,0,Wallet,Yes,1053.93,0
CUST00137,Male,45,Premium,2,32.68,3,Wallet,Yes,65.36,0
CUST00138,Male,32,Premium,9,18.76,2,Bank Transfer,Yes,168.84,0
CUST00139,Male,47,Premium,43,-6.0,1,Wallet,Yes,-258.0,0
CUST00140,Male,54,Premium,36,26.29,3,Card,Yes,946.44,0
CUST00141,Female,46,Basic,22,19.46,2,Bank Transfer,Yes,428.12,0
CUST00142,Male,39,Basic,22,28.82,1,Wallet,Yes,634.04,0
CUST00143,Female,21,Basic,22,44.99,1,Card,Yes,989.78,0
CUST00144,Female,37,Basic,34,45.28,1,Card,Yes,1539.52,0
CUST00145,Female,49,Premium,55,23.35,1,Bank Transfer,Yes,1284.25,0
CUST00146,Male,53,Basic,29,16.73,3,Card,Yes,485.17,0
CUST00147,Male,67,Enterprise,38,30.85,2,Wallet,No,1172.3,0
CUST00148,Male,21,Premium,59,21.3,2,Card,Yes,1256.7,1
CUST00149,Male,44,Basic,46,28.92,2,Wallet,No,1330.32,0
CUST00150,Female,34,Basic,33,18.39,0,Wallet,Yes,606.87,0
CUST00151,Male,29,Enterprise,18,27.51,1,Bank Transfer,No,495.18,0
CUST00152,Male,39,Premium,7,16.88,0,Card,Yes,118.16,0
CUST00153,Male,34,Premium,1,36.84,2,Bank Transfer,Yes,36.84,1
CUST00154,Male,27,Basic,33,19.1,2,Bank Transfer,No,630.3,1
CUST00155,Male,18,Basic,1,31.61,3,Bank Transfer,Yes,31.61,0
CUST00156,Female,39,Basic,24,12.35,0,Wallet,Yes,296.4,0
CUST00157,Male,43,Basic,4,32.81,3,Wallet,No,131.24,1
CUST00158,Female,35,Premium,4,15.34,1,Wallet,Yes,61.36,1
CUST00159,Male,67,Premium,18,27.61,0,Wallet,Yes,496.98,0
CUST00160,Female,31,Premium,27,35.23,1,Card,Yes,951.21,0
CUST00161,Male,64,Enterprise,43,23.0,1,Card,Yes,989.0,0
CUST00162,Male,46,Premium,59,14.71,0,Wallet,Yes,867.89,0
CUST00163,Female,29,Basic,32,29.97,1,Wallet,No,959.04,0
CUST00164,Female,53,Basic,33,16.59,4,Card,Yes,547.47,1
CUST00165,Female,52,Enterprise,28,20.96,1,Bank Transfer,No,586.88,1
CUST00166,Male,69,Basic,42,27.65,1,Bank Transfer,Yes,1161.3,0
CUST00167,Female,29,Enterprise,41,38.61,2,Wallet,No,1583.01,0
CUST00168,Male,24,Premium,55,25.27,1,Bank Transfer,Yes,1389.85,0
CUST00169,Male,46,Basic,36,25.23,0,Wallet,No,908.28,0
CUST00170,Female,28,Premium,6,32.38,1,Wallet,Yes,194.28,0
CUST00171,Female,50,Enterprise,16,25.5,0,Wallet,No,408.0,0
CUST00172,Male,23,Premium,34,31.36,1,Card,Yes,1066.24,1
CUST00173,Male,64,Enterprise,23,35.79,1,Bank Transfer,Yes,823.17,0
CUST00174,Female,32,Enterprise,50,21.72,2,Card,Yes,1086.0,1
CUST00175,Female,49,Basic,42,-7.75,1,Bank Transfer,Yes,-325.5,0
CUST00176,Female,68,Basic,24,16.82,1,Card,Yes,403.68,0
CUST00177,Male,28,Enterprise,56,37.09,2,Card,Yes,2077.04,0
CUST00178,Male,40,Premium,49,24.66,2,Wallet,Yes,1208.34,1
CUST00179,Male,43,Basic,13,21.61,2,Wallet,Yes,280.93,1
CUST00180,Male,51,Basic,56,36.67,2,Card,Yes,2053.52,0
CUST00181,Male,63,Premium,18,23.99,0,Bank Transfer,Yes,431.82,0
CUST00182,Male,51,Enterprise,54,4.07,2,Bank Transfer,No,219.78,0
CUST00183,Female,46,Premium,13,9.95,1,Wallet,No,129.35,0
CUST00184,Male,21,Premium,49,29.19,2,Wallet,Yes,1430.31,1
CUST00185,Male,34,Basic,37,24.33,3,Bank Transfer,Yes,900.21,0
CUST00186,Male,52,Basic,43,39.55,1,Bank Transfer,Yes,1700.65,1
CUST00187,Female,30,Enterprise,39,17.67,2,Bank Transfer,No,689.13,1
CUST00188,Male,58,Basic,42,21.9,0,Wallet,Yes,919.8,0
CUST00189,Male,56,Basic,17,16.15,0,Bank Transfer,Yes,274.55,0
CUST00190,Female,32,Basic,15,19.79,4,Wallet,Yes,296.85,0
CUST00191,Male,46,Premium,18,6.08,1,Card,No,109.44,0
CUST00192,Male,46,Enterprise,23,21.14,1,Card,Yes,486.22,0
CUST00193,Male,28,Basic,54,24.48,0,Card,Yes,1321.92,1
CUST00194,Male,69,Basic,51,23.64,3,Bank Transfer,Yes,1205.64,0
CUST00195,Male,49,Premium,30,46.5,2,Wallet,Yes,1395.0,0
CUST00196,Female,19,Enterprise,58,43.33,2,Bank Transfer,Yes,2513.14,0
CUST00197,Female,64,Basic,34,17.49,1,Wallet,Yes,594.66,0
CUST00198,Female,31,Basic,58,4.56,2,Bank Transfer,No,264.48,0
CUST00199,Male,37,Basic,4,24.01,0,Card,Yes,96.04,0
CUST00200,Male,39,Enterprise,3,28.77,2,Wallet,No,86.31,0
CUST00201,Male,28,Basic,7,16.4,2,Bank Transfer,Yes,114.8,0
CUST00202,Female,44,Basic,56,16.89,2,Wallet,Yes,945.84,1
CUST00203,Male,20,Premium,18,40.83,2,Wallet,No,734.94,0
CUST00204,Male,34,Premium,42,22.42,2,Bank Transfer,Yes,941.64,1
CUST00205,Female,61,Basic,7,31.62,2,Bank Transfer,Yes,221.34,0
CUST00206,Male,45,Enterprise,40,15.7,0,Wallet,No,628.0,0
CUST00207,Female,46,Basic,6,24.43,1,Wallet,Yes,146.58,1
CUST00208,Female,38,Premium,22,21.64,1,Card,Yes,476.08,0
CUST00209,Female,64,Basic,58,18.25,3,Wallet,No,1058.5,1
CUST00210,Male,33,Premium,1,36.55,1,Card,Yes,36.55,1
CUST00211,Male,54,Basic,4,11.11,5,Card,Yes,44.44,0
CUST00212,Male,37,Enterprise,46,28.0,3,Card,No,1288.0,0
CUST00213,Male,23,Premium,49,21.45,3,Wallet,Yes,1051.05,1
CUST00214,Male,36,Premium,52,29.15,2,Card,Yes,1515.8,0
CUST00215,Male,22,Premium,50,21.58,1,Wallet,No,1079.0,1
CUST00216,Male,20,Premium,43,33.67,3,Wallet,Yes,1447.81,1
CUST00217,Female,18,Basic,29,15.6,2,Bank Transfer,No,452.4,0
CUST00218,Male,55,Basic,21,36.58,0,Wallet,No,768.18,0
CUST00219,Female,32,Enterprise,26,24.71,3,Wallet,Yes,642.46,0
CUST00220,Male,51,Basic,14,11.71,1,Card,Yes,163.94,1
CUST00221,Male,52,Premium,9,31.8,1,Wallet,Yes,286.2,0
CUST00222,Male,66,Enterprise,59,23.01,2,Wallet,Yes,1357.59,0
CUST00223,Female,42,Basic,47,7.92,1,Bank Transfer,No,372.24,1
CUST00224,Female,41,Premium,12,28.32,0,Bank Transfer,Yes,339.84,1
CUST00225,Female,29,Basic,42,35.07,3,Card,Yes,1472.94,1
CUST00226,Female,35,Premium,51,37.82,3,Card,Yes,1928.82,0
CUST00227,Male,32,Basic,56,21.22,3,Bank Transfer,No,1188.32,1
CUST00228,Female,61,Basic,51,26.45,1,Bank Transfer,Yes,1348.95,0
CUST00229,Male,33,Premium,6,25.51,2,Wallet,No,153.06,1
CUST00230,Male,44,Premium,20,39.9,0,Card,Yes,798.0,1
CUST00231,Female,25,Premium,24,16.9,1,Card,No,405.6,1
CUST00232,Female,63,Premium,27,20.35,1,Wallet,Yes,549.45,0
CUST00233,Female,42,Basic,38,16.65,1,Wallet,Yes,632.7,1
CUST00234,Female,34,Premium,8,10.51,1,Card,No,84.08,0
CUST00235,Female,46,Basic,1,27.48,0,Bank Transfer,Yes,27.48,0
CUST00236,Female,25,Enterprise,54,41.01,4,Bank Transfer,Yes,2214.54,0
CUST00237,Female,32,Premium,49,23.02,3,Wallet,No,1127.98,0
CUST00238,Female,44,Premium,49,16.18,3,Card,Yes,792.82,0
CUST00239,Male,63,Enterprise,24,26.87,5,Wallet,Yes,644.88,0
CUST00240,Female,67,Basic,47,30.89,3,Bank Transfer,Yes,1451.83,0
CUST00241,Female,69,Premium,7,23.44,3,Bank Transfer,No,164.08,1
CUST00242,Male,24,Basic,19,39.04,2,Wallet,Yes,741.76,1
CUST00243,Female,20,Enterprise,22,16.88,1,Bank Transfer,Yes,371.36,0
CUST00244,Male,46,Basic,57,22.13,1,Card,Yes,1261.41,0
CUST00245,Male,61,Premium,55,27.96,2,Wallet,Yes,1537.8,0
CUST00246,Female,41,Enterprise,35,28.93,0,Wallet,No,1012.55,1
CUST00247,Male,20,Basic,30,25.47,2,Wallet,Yes,764.1,0
CUST00248,Male,37,Basic,29,12.22,4,Bank Transfer,Yes,354.38,0
CUST00249,Male,63,Premium,22,48.38,2,Card,Yes,1064.36,0
CUST00250,Male,32,Basic,11,22.64,3,Wallet,Yes,249.04,0
CUST00251,Female,42,Basic,20,26.1,0,Wallet,No,522.0,0
CUST00252,Male,47,Basic,29,31.17,0,Bank Transfer,Yes,903.93,1
CUST00253,Female,31,Basic,51,18.63,2,Card,Yes,950.13,0
CUST00254,Male,24,Enterprise,41,25.57,3,Wallet,Yes,1048.37,0
CUST00255,Male,34,Premium,42,18.23,2,Bank Transfer,No,765.66,0
CUST00256,Male,61,Basic,34,29.16,0,Wallet,Yes,991.44,0
CUST00257,Male,37,Basic,1,22.24,1,Bank Transfer,Yes,22.24,0
CUST00258,Female,53,Basic,31,27.69,1,Card,No,858.39,1
CUST00259,Female,26,Basic,30,14.53,2,Bank Transfer,No,435.9,0
CUST00260,Male,55,Basic,48,16.71,1,Wallet,No,802.08,0
CUST00261,Male,65,Basic,18,11.35,1,Wallet,Yes,204.3,0
CUST00262,Female,39,Basic,55,17.89,2,Bank Transfer,No,983.95,0
CUST00263,Male,19,Premium,58,-0.74,2,Card,Yes,-42.92,0
CUST00264,Male,41,Basic,17,21.93,1,Card,Yes,372.81,0
CUST00265,Male,25,Premium,38,19.66,0,Wallet,Yes,747.08,1
CUST00266,Female,28,Premium,14,26.51,1,Wallet,Yes,371.14,0
CUST00267,Female,30,Premium,23,25.45,2,Bank Transfer,No,585.35,0
CUST00268,Female,34,Premium,25,37.57,2,Bank Transfer,Yes,939.25,0
CUST00269,Male,25,Premium,15,50.94,1,Bank Transfer,No,764.1,0
CUST00270,Male,38,Enterprise,46,36.38,0,Card,No,1673.48,0
CUST00271,Female,35,Premium,56,20.47,3,Card,Yes,1146.32,0
CUST00272,Female,47,Premium,22,20.07,4,Wallet,No,441.54,1
CUST00273,Female,35,Premium,3,33.69,0,Wallet,Yes,101.07,0
CUST00274,Female,63,Premium,56,8.17,2,Wallet,Yes,457.52,0
CUST00275,Male,64,Basic,55,21.85,6,Bank Transfer,No,1201.75,0
CUST00276,Female,48,Basic,19,22.62,1,Card,Yes,429.78,0
CUST00277,Male,55,Basic,57,30.84,3,Wallet,Yes,1757.88,0
CUST00278,Female,49,Enterprise,44,31.14,1,Wallet,Yes,1370.16,0
CUST00279,Male,28,Premium,34,17.55,0,Wallet,No,596.7,1
CUST00280,Female,62,Enterprise,35,20.86,1,Wallet,Yes,730.1,0
CUST00281,Female,42,Premium,50,29.45,2,Wallet,Yes,1472.5,0
CUST00282,Female,50,Basic,1,17.01,1,Wallet,Yes,17.01,0
CUST00283,Female,55,Basic,52,37.06,2,Card,No,1927.12,0
CUST00284,Male,58,Premium,21,31.09,1,Wallet,Yes,652.89,0
CUST00285,Female,25,Premium,29,26.72,3,Card,Yes,774.88,0
CUST00286,Male,28,Enterprise,6,28.91,2,Bank Transfer,Yes,173.46,0
CUST00287,Male,39,Basic,37,20.33,2,Card,Yes,752.21,0
CUST00288,Male,68,Premium,1,18.74,3,Bank Transfer,Yes,18.74,0
CUST00289,Male,41,Premium,51,20.75,0,Card,Yes,1058.25,0
CUST00290,Female,58,Premium,1,30.0,2,Card,Yes,30.0,1
CUST00291,Male,34,Premium,27,27.01,2,Wallet,Yes,729.27,0
CUST00292,Male,29,Premium,21,20.77,2,Card,Yes,436.17,0
CUST00293,Male,63,Basic,53,32.5,5,Card,Yes,1722.5,0
CUST00294,Female,49,Premium,16,23.26,2,Wallet,Yes,372.16,0
CUST00295,Female,32,Premium,44,18.07,0,Bank Transfer,Yes,795.08,0
CUST00296,Female,33,Enterprise,59,27.54,2,Wallet,Yes,1624.86,0
CUST00297,Female,39,Premium,54,14.87,4,Wallet,Yes,802.98,1
CUST00298,Male,45,Basic,40,8.13,0,Wallet,Yes,325.2,0
CUST00299,Male,37,Basic,26,24.95,1,Bank Transfer,Yes,648.7,0
CUST00300,Female,50,Enterprise,16,18.43,3,Card,Yes,294.88,1
CUST00301,Male,27,Premium,28,22.46,1,Card,Yes,628.88,0
CUST00302,Male,57,Enterprise,1,15.33,0,Wallet,No,15.33,0
CUST00303,Male,49,Basic,36,37.09,1,Wallet,Yes,1335.24,0
CUST00304,Female,67,Premium,10,18.39,1,Card,No,183.9,1
CUST00305,Female,50,Premium,43,20.68,2,Card,Yes,889.24,0
CUST00306,Male,19,Enterprise,17,28.78,0,Card,Yes,489.26,1
CUST00307,Female,50,Basic,57,11.23,1,Bank Transfer,No,640.11,0
CUST00308,Female,50,Premium,59,10.49,1,Bank Transfer,Yes,618.91,0
CUST00309,Female,58,Premium,23,28.81,2,Wallet,Yes,662.63,0
CUST00310,Female,30,Basic,7,20.55,4,Bank Transfer,No,143.85,0
CUST00311,Female,47,Premium,44,15.99,2,Wallet,Yes,703.56,0
CUST00312,Male,50,Premium,53,31.03,0,Card,Yes,1644.59,0
CUST00313,Female,30,Enterprise,7,16.88,2,Card,Yes,118.16,0
CUST00314,Male,69,Basic,44,22.25,1,Wallet,No,979.0,0
CUST00315,Male,43,Basic,15,16.04,1,Card,No,240.6,0
CUST00316,Female,39,Basic,34,28.03,0,Wallet,Yes,953.02,0
CUST00317,Male,56,Basic,46,38.32,1,Wallet,Yes,1762.72,0
CUST00318,Male,19,Basic,45,6.39,1,Wallet,No,287.55,0
CUST00319,Male,55,Premium,4,26.13,1,Bank Transfer,Yes,104.52,1
CUST00320,Female,56,Basic,14,33.57,2,Wallet,Yes,469.98,0
CUST00321,Female,43,Enterprise,14,20.79,1,Wallet,Yes,291.06,0
CUST00322,Male,63,Enterprise,16,13.69,1,Wallet,Yes,219.04,0
CUST00323,Female,67,Premium,7,29.21,3,Bank Transfer,Yes,204.47,0
CUST00324,Female,32,Enterprise,32,35.02,2,Card,No,1120.64,0
CUST00325,Female,51,Premium,19,33.91,1,Bank Transfer,No,644.29,0
CUST00326,Female,59,Premium,2,28.66,4,Wallet,Yes,57.32,0
CUST00327,Male,61,Basic,10,25.98,1,Bank Transfer,Yes,259.8,0
CUST00328,Male,66,Basic,50,16.01,1,Card,Yes,800.5,1
CUST00329,Female,57,Premium,17,33.65,1,Card,Yes,572.05,0
CUST00330,Female,28,Enterprise,37,33.1,0,Wallet,Yes,1224.7,0
CUST00331,Male,20,Basic,12,13.62,1,Card,Yes,163.44,0
CUST00332,Male,23,Enterprise,6,28.64,0,Bank Transfer,Yes,171.84,0
CUST00333,Female,26,Premium,22,31.53,1,Bank Transfer,Yes,693.66,0
CUST00334,Male,23,Basic,32,33.82,1,Card,Yes,1082.24,0
CUST00335,Female,26,Enterprise,41,24.25,3,Wallet,Yes,994.25,0
CUST00336,Female,56,Premium,20,16.42,2,Wallet,Yes,328.4,0
CUST00337,Male,48,Basic,1,19.98,0,Bank Transfer,Yes,19.98,0
CUST00338,Male,49,Premium,54,14.93,1,Card,No,806.22,0
CUST00339,Female,58,Basic,47,24.49,2,Bank Transfer,No,1151.03,0
CUST00340,Female,67,Premium,53,22.53,2,Bank Transfer,Yes,1194.09,0
CUST00341,Male,29,Basic,58,46.45,6,Bank Transfer,Yes,2694.1,0
CUST00342,Female,25,Basic,6,33.95,1,Wallet,Yes,203.7,0
CUST00343,Male,25,Enterprise,19,34.7,2,Card,Yes,659.3,0
CUST00344,Female,67,Premium,18,29.71,4,Card,Yes,534.78,0
CUST00345,Male,45,Basic,6,21.33,0,Wallet,No,127.98,0
CUST00346,Male,37,Basic,45,22.25,0,Bank Transfer,Yes,1001.25,0
CUST00347,Male,64,Enterprise,33,23.16,1,Bank Transfer,Yes,764.28,0
CUST00348,Female,24,Basic,23,26.88,3,Wallet,Yes,618.24,0
CUST00349,Female,28,Basic,23,28.89,0,Card,Yes,664.47,0
CUST00350,Male,37,Basic,26,25.01,0,Wallet,Yes,650.26,0
CUST00351,Female,33,Basic,13,22.09,1,Card,Yes,287.17,0
CUST00352,Male,21,Premium,7,19.06,0,Card,Yes,133.42,0
CUST00353,Male,23,Premium,15,11.07,1,Card,Yes,166.05,1
CUST00354,Female,39,Basic,44,37.83,2,Bank Transfer,No,1664.52,1
CUST00355,Female,43,Premium,27,47.06,2,Bank Transfer,Yes,1270.62,0
CUST00356,Male,20,Basic,26,36.99,2,Wallet,Yes,961.74,1
CUST00357,Female,58,Enterprise,33,12.41,2,Wallet,Yes,409.53,0
CUST00358,Female,59,Enterprise,15,32.87,0,Bank Transfer,Yes,493.05,0
CUST00359,Male,31,Basic,36,35.24,1,Wallet,Yes,1268.64,0
